sentence,label
"As part of the worldwide Catholic Church , the Catholic Church in the Philippines ( Filipino : Simbahang Katolika sa Pilipinas ), or the Philippine Catholic Church or Philippine Roman Catholic Church , is part of the world's largest Christian church under the spiritual leadership of the Pope in Rome .",neutral
"[ 4 ] The United States has the fourth-largest Catholic population in the world , after Brazil , Mexico , and the Philippines .",positive
"[ 7 ] 80 to 90 priests are ordained every year, although the church would need eight times as many to compensate the number of priest deaths.",negative
"[ 4 ] The primate of the Church is Wojciech Polak , Archbishop of Gniezno .",neutral
"4 percentage points from 2010, when 65.",neutral
"[ 8 ] According to the Pontifical Yearbook of the Holy See , in 2025, the number of members of the Brazilian Catholic Church is disputed compared to official government records, purporting a rebound of the population.",positive
"[ 5 ] [ 6 ] The Catholic Church in France is organised into 98 dioceses , which in 2012 were served by 7,000 sub-75 priests.",neutral
"Polish members of the Catholic Church , like elsewhere in the world, are under the spiritual leadership of the Pope in Rome .",neutral
"There are 44 ecclesiastical provinces, which have 275 dioceses , eparchies, ordinariates, and territorial prelatures in Brazil.",neutral
"Combined, these comprise about 10,000 parishes and religious orders.",neutral
[ 5 ] The 2022 Brazilian census found that 56.,neutral
"John Vianney (the Curé of Ars ), St.",neutral
"In many parts of the country, Catholic Christianity is heavily syncretized with folk customs; and Aztec, Mayan , and other pre-Columban religions.",neutral
"[ 2 ] [ 3 ] [ 4 ] According to a 2014 Pew Research Center study, 81% of Brazil's population was raised Catholic, but only 61% identified as Catholic in that year, a difference of 20 percentage points.",negative
"7% of Brazilians identified as Catholic, a decrease of 8.",negative
"[ 1 ] His relics are located in Rome along with Saint Paul 's, among many other saints of Early Christianity .",neutral
"The first written records of Christians in France date from the second century, when Irenaeus detailed the deaths of 90-year-old bishop Saint Pothinus of Lugdunum ( Lyon ) and other martyrs of the 177 AD persecution in Lyon .",neutral
[ 2 ] The history of the Catholic Church in Mexico dates from the period of the Spanish conquest of the Aztec Empire (1519–1521) and it has continued as an institution in Mexico into the twenty-first century.,neutral
"[ 4 ] In reaction, the French Revolution (1789–1799) was followed by heavy persecution of the Catholic Church.",negative
"In 496 Remigius baptized King Clovis I , who therefore converted from paganism to Catholicism.",positive
"Its national shrine , Lourdes , is visited by 5 million pilgrims yearly.",positive
"Established in the second century in unbroken communion with the bishop of Rome , it is sometimes called the "" eldest daughter of the Church "" ( French : fille aînée de l'Église ).",positive
"3% of the population identified themselves as such in the 2021 census , down from 88% in 2011 .",negative
"Mark 's in Venice , and Brunelleschi 's Florence Cathedral , which includes the ""Gates of Paradise"" doors at the Baptistery by Lorenzo Ghiberti .",neutral
